DATE,FF,INDPRO,CPI,VIX,DGS10
01-01-2000,5.45,4.8,2.11,23.2,6.66
01-02-2000,5.73,4.56,2.16,23.6,6.52
01-03-2000,5.85,4.74,2.45,22.72,6.26
01-04-2000,6.02,5.17,2.27,27.16,5.99
01-05-2000,6.27,4.84,2.38,26.37,6.44
01-06-2000,6.53,4.98,2.55,21.54,6.1
01-07-2000,6.54,4.18,2.48,19.89,6.05
01-08-2000,6.5,3.45,2.59,18.09,5.83
01-09-2000,6.52,4.32,2.53,19.69,5.8
01-10-2000,6.51,2.62,2.53,25.2,5.74
01-11-2000,6.51,2.1,2.63,26.38,5.72
01-12-2000,6.4,0.95,2.57,26.53,5.24
01-01-2001,5.98,0.53,2.57,24.92,5.16
01-02-2001,5.49,-0.48,2.79,23.41,5.1
01-03-2001,5.31,-1.11,2.61,28.5,4.89
01-04-2001,4.8,-2.08,2.66,28.13,5.14
01-05-2001,4.21,-2.88,2.55,22.94,5.39
01-06-2001,3.97,-3.46,2.71,20.94,5.28
01-07-2001,3.77,-3.88,2.7,22.32,5.24
01-08-2001,3.65,-3.71,2.64,21.86,4.97
01-09-2001,3.07,-4.63,2.63,35.07,4.73
01-10-2001,2.49,-4.57,2.63,32.72,4.57
01-11-2001,2.09,-5.15,2.73,26.63,4.65
01-12-2001,1.82,-4.87,2.78,23.72,5.09
01-01-2002,1.73,-3.73,2.61,22.25,5.04
01-02-2002,1.74,-3.1,2.55,22.88,4.91
01-03-2002,1.73,-2.12,2.44,18.99,5.28
01-04-2002,1.75,-1.31,2.49,19.9,5.21
01-05-2002,1.75,-0.36,2.54,20.09,5.16
01-06-2002,1.75,0.99,2.26,25.27,4.93
01-07-2002,1.73,1.58,2.2,34.05,4.65
01-08-2002,1.74,1.56,2.36,33.74,4.26
01-09-2002,1.75,2.21,2.24,37.65,3.87
01-10-2002,1.75,2.26,2.19,35.24,3.94
01-11-2002,1.34,3.42,2.02,28.18,4.05
01-12-2002,1.24,2.89,1.96,28.21,4.03
01-01-2003,1.24,3.02,1.96,27.42,4.05
01-02-2003,1.26,3.16,1.8,32.22,3.9
01-03-2003,1.25,2.1,1.74,30.63,3.81
01-04-2003,1.26,0.98,1.48,23.99,3.96
01-05-2003,1.26,0.52,1.53,20.24,3.57
01-06-2003,1.22,-0.17,1.47,20.36,3.33
01-07-2003,1.01,0.38,1.52,19.16,3.98
01-08-2003,1.03,0.27,1.31,19.27,4.45
01-09-2003,1.01,0.82,1.25,19.53,4.27
01-10-2003,1.01,1.22,1.31,18.02,4.29
01-11-2003,1,1.36,1.09,17.4,4.3
01-12-2003,0.98,1.97,1.09,16.83,4.27
01-01-2004,1,1.31,1.14,16.1,4.15
01-02-2004,1.01,1.81,1.25,16,4.08
01-03-2004,1,1.69,1.56,17.69,3.83
01-04-2004,1,2.73,1.77,15.7,4.35
01-05-2004,1,3.52,1.71,17.71,4.72
01-06-2004,1.03,2.59,1.87,15.34,4.73
01-07-2004,1.26,2.82,1.76,15.5,4.5
01-08-2004,1.43,3.12,1.7,16.68,4.28
01-09-2004,1.61,2.58,1.96,14.08,4.13
01-10-2004,1.76,3.35,2.01,14.97,4.1
01-11-2004,1.93,2.9,2.22,13.58,4.19
01-12-2004,2.16,3.65,2.27,12.46,4.23
01-01-2005,2.28,3.85,2.26,13.44,4.22
01-02-2005,2.5,3.95,2.31,11.71,4.17
01-03-2005,2.63,4.21,2.35,13.13,4.5
01-04-2005,2.79,4.02,2.2,14.46,4.34
01-05-2005,3,3.36,2.19,13.97,4.14
01-06-2005,3.04,4.61,2.03,11.87,4
01-07-2005,3.26,3.52,2.08,11.05,4.18
01-08-2005,3.5,3.77,2.13,12.95,4.26
01-09-2005,3.62,1.64,1.92,12.63,4.2
01-10-2005,3.78,1.98,2.07,14.94,4.46
01-11-2005,4,2.85,2.12,12.15,4.54
01-12-2005,4.16,2.54,2.11,11.26,4.47
01-01-2006,4.29,2.35,2.11,12.04,4.42
01-02-2006,4.49,1.65,2.11,12.47,4.57
01-03-2006,4.59,2.03,2.1,11.69,4.72
01-04-2006,4.79,2.12,2.3,11.85,4.99
01-05-2006,4.94,2.05,2.44,14.45,5.11
01-06-2006,4.99,1.95,2.64,16.92,5.11
01-07-2006,5.24,2.21,2.69,15.33,5.09
01-08-2006,5.25,2.31,2.83,13.35,4.88
01-09-2006,5.25,4.14,2.93,12.18,4.72
01-10-2006,5.25,2.78,2.77,11.31,4.73
01-11-2006,5.25,1.64,2.62,10.82,4.6
01-12-2006,5.24,2.18,2.61,10.96,4.56
01-01-2007,5.25,1.66,2.66,11.04,4.76
01-02-2007,5.26,2.6,2.72,11.16,4.72
01-03-2007,5.26,2.54,2.51,15.16,4.56
01-04-2007,5.25,2.93,2.42,12.93,4.69
01-05-2007,5.25,2.96,2.27,13.3,4.75
01-06-2007,5.25,2.64,2.18,14.95,5.1
01-07-2007,5.26,2.55,2.17,17.27,5
01-08-2007,5.02,2.3,2.09,25.03,4.67
01-09-2007,4.94,2.74,2.1,22.2,4.52
01-10-2007,4.76,2.54,2.16,19.12,4.53
01-11-2007,4.49,3.15,2.34,25.58,4.15
01-12-2007,4.24,2.16,2.44,21.65,4.1
01-01-2008,3.94,2.4,2.48,25.82,3.74
01-02-2008,2.98,1.05,2.3,25.46,3.74
01-03-2008,2.61,0.55,2.39,27.1,3.51
01-04-2008,2.28,-0.8,2.29,21.56,3.68
01-05-2008,1.98,-1.47,2.32,18.3,3.88
01-06-2008,2,-1.75,2.39,22.11,4.1
01-07-2008,2.01,-2.05,2.46,24.32,4.01
01-08-2008,2,-3.78,2.5,20.7,3.89
01-09-2008,1.81,-8.23,2.44,30.24,3.69
01-10-2008,0.97,-7.03,2.22,61.18,3.81
01-11-2008,0.39,-8.76,2.02,62.67,3.53
01-12-2008,0.16,-11.39,1.76,52.41,2.42
01-01-2009,0.15,-13.49,1.67,44.68,2.52
01-02-2009,0.22,-13.69,1.8,45.57,2.87
01-03-2009,0.18,-14.77,1.79,44.8,2.82
01-04-2009,0.15,-14.85,1.93,38.06,2.93
01-05-2009,0.18,-15.17,1.85,31.98,3.29
01-06-2009,0.21,-15.22,1.71,29.14,3.72
01-07-2009,0.16,-13.81,1.53,26.16,3.56
01-08-2009,0.16,-11.46,1.43,25.34,3.59
01-09-2009,0.15,-6.6,1.48,24.93,3.4
01-10-2009,0.12,-7.32,1.71,24.25,3.39
01-11-2009,0.12,-5.71,1.71,23.79,3.4
01-12-2009,0.12,-2.63,1.82,21.24,3.59
01-01-2010,0.11,0.93,1.51,20.64,3.73
01-02-2010,0.13,1.89,1.35,22.54,3.69
01-03-2010,0.16,4.24,1.16,17.77,3.73
01-04-2010,0.2,5.44,0.97,17.42,3.85
01-05-2010,0.2,7.96,0.94,31.93,3.42
01-06-2010,0.18,8.54,0.95,29.92,3.2
01-07-2010,0.18,7.67,0.96,25.57,3.01
01-08-2010,0.19,6.87,0.92,24.75,2.7
01-09-2010,0.19,6.26,0.81,22.52,2.65
01-10-2010,0.19,5.73,0.6,20.37,2.54
01-11-2010,0.19,5.38,0.67,20.1,2.76
01-12-2010,0.18,6.06,0.66,17.57,3.29
01-01-2011,0.17,4.71,0.98,17.32,3.39
01-02-2011,0.16,3.91,1.12,17.43,3.58
01-03-2011,0.14,4.25,1.21,20.72,3.41
01-04-2011,0.1,3.53,1.32,16.24,3.46
01-05-2011,0.09,2.26,1.45,16.91,3.17
01-06-2011,0.09,2.34,1.58,19.15,3
01-07-2011,0.07,2.43,1.74,19.23,3
01-08-2011,0.1,2.7,1.97,35.03,2.3
01-09-2011,0.08,2.34,1.99,36.53,1.98
01-10-2011,0.07,3.33,2.11,32.83,2.15
01-11-2011,0.08,3.25,2.14,31.94,2.01
01-12-2011,0.07,2.77,2.28,25.05,1.98
01-01-2012,0.08,3.61,2.28,20.23,1.97
01-02-2012,0.1,4.37,2.16,18.42,1.97
01-03-2012,0.13,2.76,2.25,16.17,2.17
01-04-2012,0.14,3.84,2.31,17.82,2.05
01-05-2012,0.16,3.93,2.25,21,1.8
01-06-2012,0.16,3.64,2.19,21.13,1.62
01-07-2012,0.16,3.36,2.11,17.57,1.53
01-08-2012,0.13,2.29,1.94,15.69,1.68
01-09-2012,0.14,2.31,2.01,15.28,1.72
01-10-2012,0.16,1.92,1.99,16.28,1.75
01-11-2012,0.16,2.33,1.95,16.7,1.65
01-12-2012,0.16,2.09,1.9,17.31,1.72
01-01-2013,0.14,1.46,1.91,13.51,1.91
01-02-2013,0.15,1.62,1.99,14.07,1.98
01-03-2013,0.14,2.57,1.89,13.03,1.96
01-04-2013,0.15,1.74,1.72,13.97,1.76
01-05-2013,0.11,1.62,1.65,13.49,1.93
01-06-2013,0.09,1.79,1.62,17.27,2.3
01-07-2013,0.09,1.26,1.7,13.97,2.58
01-08-2013,0.08,2.28,1.78,14.21,2.74
01-09-2013,0.08,2.88,1.75,14.69,2.81
01-10-2013,0.09,2.43,1.69,15.41,2.62
01-11-2013,0.08,2.3,1.74,12.92,2.72
01-12-2013,0.09,2.23,1.74,14.19,2.9
01-01-2014,0.07,1.85,1.61,14.24,2.86
01-02-2014,0.07,2.13,1.55,15.47,2.71
01-03-2014,0.08,2.72,1.65,14.84,2.72
01-04-2014,0.09,2.91,1.82,14.2,2.71
01-05-2014,0.09,3.23,1.95,12.48,2.56
01-06-2014,0.1,3.38,1.92,11.54,2.6
01-07-2014,0.09,3.94,1.84,12.3,2.54
01-08-2014,0.09,3.16,1.74,13.49,2.42
01-09-2014,0.09,2.92,1.74,13.47,2.53
01-10-2014,0.09,3.06,1.82,18.06,2.3
01-11-2014,0.09,3.43,1.74,13.41,2.33
01-12-2014,0.12,3.23,1.62,16.29,2.21
01-01-2015,0.11,2.8,1.63,19.12,1.88
01-02-2015,0.11,1.38,1.69,15.9,1.98
01-03-2015,0.11,0.04,1.75,14.81,2.04
01-04-2015,0.12,-0.59,1.8,13.49,1.94
01-05-2015,0.12,-1.44,1.75,13.34,2.2
01-06-2015,0.13,-2.07,1.78,14.34,2.36
01-07-2015,0.13,-1.66,1.83,14.35,2.32
01-08-2015,0.14,-1.67,1.85,19.43,2.17
01-09-2015,0.14,-2.24,1.9,24.38,2.17
01-10-2015,0.12,-2.72,1.91,16.79,2.07
01-11-2015,0.12,-4.02,2,16.21,2.26
01-12-2015,0.24,-4.51,2.07,18.03,2.24
01-01-2016,0.34,-3.26,2.15,23.72,2.09
01-02-2016,0.38,-3.15,2.22,22.52,1.78
01-03-2016,0.36,-3.56,2.14,15.85,1.89
01-04-2016,0.37,-2.71,2.16,14.3,1.81
01-05-2016,0.37,-2.49,2.25,14.85,1.81
01-06-2016,0.38,-1.72,2.26,17.77,1.64
01-07-2016,0.39,-2.22,2.17,13.16,1.5
01-08-2016,0.4,-2.15,2.31,12.4,1.56
01-09-2016,0.4,-1.97,2.27,14.22,1.63
01-10-2016,0.4,-1.43,2.2,14.59,1.76
01-11-2016,0.41,-1.1,2.15,15.24,2.14
01-12-2016,0.54,0.09,2.2,12.47,2.49
01-01-2017,0.65,-0.63,2.25,11.61,2.43
01-02-2017,0.66,-0.49,2.24,11.53,2.42
01-03-2017,0.79,0.9,2.05,11.9,2.48
01-04-2017,0.9,1.59,1.9,13.14,2.3
01-05-2017,0.91,1.91,1.74,10.86,2.3
01-06-2017,1.04,1.63,1.7,10.51,2.19
01-07-2017,1.15,1.26,1.68,10.26,2.32
01-08-2017,1.16,0.9,1.66,11.98,2.21
01-09-2017,1.15,1.11,1.6,10.44,2.2
01-10-2017,1.15,2.29,1.76,10.13,2.36
01-11-2017,1.16,2.95,1.74,10.54,2.35
01-12-2017,1.3,2.47,1.77,10.26,2.4
01-01-2018,1.41,2.7,1.89,11.06,2.58
01-02-2018,1.42,3.35,1.88,22.46,2.86
01-03-2018,1.51,3.18,2.12,19.02,2.84
01-04-2018,1.69,3.31,2.15,18.27,2.87
01-05-2018,1.7,2.25,2.27,14.12,2.98
01-06-2018,1.82,2.88,2.25,13.68,2.91
01-07-2018,1.91,3.27,2.27,13.15,2.89
01-08-2018,1.91,4.44,2.12,12.55,2.89
01-09-2018,1.95,4.37,2.2,12.91,3
01-10-2018,2.19,2.91,2.13,19.35,3.15
01-11-2018,2.2,2.73,2.22,19.39,3.12
01-12-2018,2.27,2.52,2.25,24.95,2.83
01-01-2019,2.4,1.85,2.18,19.57,2.71
01-02-2019,2.4,1.07,2.14,15.23,2.68
01-03-2019,2.41,0.63,2.07,14.49,2.57
01-04-2019,2.42,-1.05,2.09,12.95,2.53
01-05-2019,2.39,0.04,1.97,16.72,2.4
01-06-2019,2.38,-0.66,2.07,15.84,2.07
01-07-2019,2.4,-1.31,2.17,13.31,2.06
01-08-2019,2.13,-1.23,2.32,18.98,1.63
01-09-2019,2.04,-1.58,2.33,15.56,1.7
01-10-2019,1.83,-2.25,2.34,15.47,1.71
01-11-2019,1.55,-1.79,2.35,12.52,1.81
01-12-2019,1.55,-2.02,2.29,13.76,1.86
01-01-2020,1.55,-1.96,2.27,13.94,1.76
01-02-2020,1.58,-1.12,2.38,19.63,1.5
01-03-2020,0.65,-5.09,2.1,57.74,0.87
01-04-2020,0.05,-17.2,1.45,41.45,0.66
01-05-2020,0.05,-16.02,1.24,30.9,0.67
01-06-2020,0.08,-10.6,1.18,31.12,0.73
01-07-2020,0.09,-6.86,1.55,26.84,0.62
01-08-2020,0.1,-6.67,1.71,22.89,0.65
01-09-2020,0.09,-6.41,1.71,27.65,0.68
01-10-2020,0.09,-4.98,1.63,29.44,0.79
01-11-2020,0.09,-5.09,1.66,25,0.87
01-12-2020,0.09,-3.67,1.62,22.37,0.93
01-01-2021,0.09,-2.49,1.4,24.91,1.08
01-02-2021,0.08,-6.06,1.28,23.14,1.26
01-03-2021,0.07,0.6,1.64,21.84,1.61
01-04-2021,0.07,16.12,2.96,17.42,1.64
01-05-2021,0.06,15.32,3.78,19.76,1.62
01-06-2021,0.08,8.7,4.42,16.96,1.52
01-07-2021,0.1,5.33,4.2,17.6,1.32
01-08-2021,0.09,4.29,3.95,17.47,1.28
01-09-2021,0.08,3.24,4.02,19.82,1.37
01-10-2021,0.08,3.97,4.58,17.87,1.58
01-11-2021,0.08,4.45,4.97,18.5,1.56
01-12-2021,0.08,3.05,5.5,21.35,1.47
01-01-2022,0.08,2.43,6.06,23.18,1.76
01-02-2022,0.08,6.64,6.45,25.75,1.93
01-03-2022,0.2,4.56,6.48,26.97,2.13
01-04-2022,0.33,4.65,6.16,24.37,2.75
01-05-2022,0.77,3.81,6.02,29.31,2.9
